timestamp,open,high,low,close,volume
2026-05-20 09:15:00+05:30,299.0,343.65,290.0,306.5,1769040
2026-05-20 09:20:00+05:30,305.5,318.6,303.3,309.75,757770
2026-05-20 09:25:00+05:30,310.6,313.45,298.4,303.8,739115
2026-05-20 09:30:00+05:30,303.95,303.95,276.0,281.0,830115
2026-05-20 09:35:00+05:30,280.5,286.3,265.0,267.5,791505
2026-05-20 09:40:00+05:30,267.8,286.95,267.0,273.8,1061970
2026-05-20 09:45:00+05:30,274.0,283.7,264.45,276.1,761930
2026-05-20 09:50:00+05:30,275.65,278.8,265.4,272.3,572520
2026-05-20 09:55:00+05:30,272.4,280.4,260.0,265.3,739050
2026-05-20 10:00:00+05:30,265.1,286.85,263.1,283.5,1101880
2026-05-20 10:05:00+05:30,283.05,293.6,280.1,284.4,1035515
2026-05-20 10:10:00+05:30,285.0,289.2,272.5,284.3,476255
2026-05-20 10:15:00+05:30,284.25,285.85,271.5,281.1,383175
2026-05-20 10:20:00+05:30,281.75,298.65,276.4,297.15,762125
2026-05-20 10:25:00+05:30,296.75,297.7,264.3,264.45,788580
2026-05-20 10:30:00+05:30,264.55,264.6,238.35,241.75,1650415
2026-05-20 10:35:00+05:30,242.1,243.8,234.3,243.0,1239550
2026-05-20 10:40:00+05:30,243.75,257.55,242.2,255.1,1789905
2026-05-20 10:45:00+05:30,255.75,275.0,254.75,270.5,1323140
2026-05-20 10:50:00+05:30,270.55,271.7,249.25,250.0,968500
2026-05-20 10:55:00+05:30,249.15,256.25,246.5,246.5,584090
2026-05-20 11:00:00+05:30,246.5,246.7,231.0,237.95,1049945
2026-05-20 11:05:00+05:30,237.6,239.9,231.95,232.85,675480
2026-05-20 11:10:00+05:30,233.0,234.9,230.3,232.65,294125
2026-05-20 11:15:00+05:30,241.55,246.95,237.35,243.6,1153945
2026-05-20 11:20:00+05:30,244.15,244.5,222.9,235.3,1599130
2026-05-20 11:25:00+05:30,234.25,234.85,229.5,230.95,347100
2026-05-20 11:30:00+05:30,226.2,227.0,218.0,224.5,752505
2026-05-20 11:35:00+05:30,227.1,230.7,225.45,225.45,224900
2026-05-20 11:40:00+05:30,221.6,226.35,219.85,224.8,426335
2026-05-20 11:45:00+05:30,222.1,222.1,216.85,217.1,304915
2026-05-20 11:50:00+05:30,208.45,208.65,203.85,205.6,436605
2026-05-20 11:55:00+05:30,214.7,216.75,212.25,214.85,225355
2026-05-20 12:00:00+05:30,218.2,223.6,216.1,223.6,562575
2026-05-20 12:05:00+05:30,228.4,229.45,226.0,229.45,390195
2026-05-20 12:10:00+05:30,233.6,233.6,230.3,230.3,235885
2026-05-20 12:15:00+05:30,232.55,233.3,227.0,227.15,365755
2026-05-20 12:20:00+05:30,228.25,229.3,226.0,227.15,124865
2026-05-20 12:25:00+05:30,218.95,221.7,217.7,220.1,251030
2026-05-20 12:30:00+05:30,221.15,227.8,219.7,220.8,475280
2026-05-20 12:35:00+05:30,225.65,228.45,224.2,224.2,206115
